t_hours,a,e,i,omega,raan,v
0.43333333333333335,7051069.917670444,0.0015678563983346787,1.7138405787142657,-1.4326884758347374,2.624397609365591,3.087516205691243
0.45,7051333.888535611,0.00154233180540415,1.7138378728201795,-1.3285277183914574,2.6244210936300667,3.047138000580503
0.4666666666666667,7051739.017269727,0.0015030593130156752,1.7138337257447027,-1.2229691948545671,2.624444164450329,3.0053623045570466
0.48333333333333334,7052279.142236174,0.00145077857512105,1.7138282011124721,-1.1153190543139775,2.6244666407182256,2.9614953899414385
0.5,7052945.700858912,0.0013865321353120142,1.713821387217756,-1.0047728198331798,2.6244883431427843,2.914732893542366
0.5166666666666667,7053727.914400345,0.001311656728236834,1.713813395067993,-0.8903545189997415,2.624509104196158,2.8640989447639664
0.5333333333333333,7054613.176311818,0.0012277534803738996,1.7138043543401773,-0.77084202024664,2.624528776571141,2.8083715001676084
0.55,7055587.301948568,0.0011366823034710432,1.7137944107546539,-0.6446786505341775,2.6245472340846963,2.7459939592560674
0.5666666666666667,7056634.579890559,0.0010405942823732616,1.7137837254768653,-0.5098589842338588,2.6245643691982856,2.6749609509720162
0.5833333333333334,7057737.928813127,0.0009419705002949571,1.7137724734444206,-0.3637771243525121,2.6245800939753217,2.592666612710588
0.6,7058879.325335441,0.0008436495008253222,1.7137608389399466,-0.20305497630106562,2.624594344438465,2.495732862878188
0.6166666666666667,7060040.31987791,0.0007488607484256877,1.7137490102868014,-0.023439496788725478,2.624607083832268,2.3799066497179453
0.6333333333333333,7061202.334205775,0.000661271782845469,1.7137371767932579,0.1799834317997342,2.6246183018868443,2.2402738260405166
0.65,7062346.655756656,0.000584968301252891,1.7137255288039956,0.4117426146346137,2.6246280114305156,2.0723055357340767
0.6666666666666666,7063454.533701034,0.0005241203794943582,1.7137142567300947,0.6734598285014464,2.624636247162818,1.8743799289321528
0.6833333333333333,7064507.776892025,0.0004820238948915605,1.7137035449908111,0.9601168032666159,2.624643068173083,1.6515151809133577
0.7,7065489.389376501,0.00045961302377160463,1.713693565599098,1.2580793072036385,2.62464855884631,1.4173454089615727
0.7166666666666667,7066383.580702526,0.00045441252033251857,1.7136844781224831,1.5491208340757565,2.624652825102646,1.1900969874350664
0.7333333333333333,7067175.630635582,0.00046106792221507737,1.7136764311290922,1.8188042371158355,2.6246559909404095,0.9842069146358446
0.75,7067852.345478894,0.0004731622331180307,1.713669557627036,2.061421818620852,2.624658198133317,0.8053827244412586
0.7666666666666667,7068402.568983823,0.00048485954045269906,1.7136639699549183,2.278588367652411,2.624659605036217,0.6520094514514114
0.7833333333333333,7068817.101024395,0.0004915938335761889,1.7136597606830333,2.4754926761193063,2.624660383060131,0.5188981177393612
0.8,7069088.667670567,0.0004901061752986636,1.7136570029825726,2.658329618924889,2.6246607139154072,0.39985365455237776
0.8166666666666667,7069212.451383319,0.0004783126532003594,1.7136557452986156,2.8334587301110323,2.6246607876107233,0.28851632880637046
0.8333333333333334,7069186.489694702,0.00045517406489180827,1.7136560073419806,-3.275497599323099,2.624660799032501,0.17807824245484782
0.85,7069011.500022917,0.0004206275364133282,1.7136577818821712,-3.0938266367594394,2.624660943828722,0.06019708104665277
0.8666666666666667,7068690.567801417,0.00037572785194502295,1.7136610379049835,-2.892607298643469,2.624661415070189,-0.07723373527597617
0.8833333333333333,7068228.960142219,0.00032326574162009757,1.7136657224770477,-2.6515120387897166,2.624662400589542,-0.25454193218352555
0.9,7067634.0566039365,0.0002695126202005852,1.7136717614052486,-2.334301032510461,2.6246640804335275,-0.507967501985246
