t_hours,a,e,sin_i,cos_i,sin_omega,cos_omega,sin_raan,cos_raan,sin_v,cos_v
4.166666666666667,0.9467376526636713,0.07062324789020763,0.9898116768367343,-0.14238273911416457,-0.45383813383537114,-0.8910841420858233,0.49215704908719704,-0.8705064267619064,-0.2351533199133202,0.971958289297305
4.183333333333334,0.9144754382259634,0.036155010097061235,0.9898108223736775,-0.1423886790160805,-0.7003463609059757,-0.7138031764889793,0.49215560637248046,-0.87050724242601,-0.46036343509971417,0.8877305377327014
4.2,0.8754463715957286,0.008173893990891273,0.9898097883460348,-0.14239586684443353,-0.9339161382174822,-0.3574921632385033,0.4921534161892411,-0.8705084806785398,-0.747275360007221,0.6645145117498024
4.216666666666667,0.8302950751420326,0.0010818552171477092,0.9898085916740131,-0.14240418479913688,-0.9801780583164086,0.19811858568815577,0.4921503437955453,-0.8705102176895608,-0.9746584150671237,0.22369839949995737
4.233333333333333,0.7797696650782768,0.025936297335345138,0.9898072520229044,-0.1424134959997348,-0.7325808862743833,0.6806799872667324,0.4921462692201086,-0.8705125212728008,-0.9664248591277883,-0.2569493951342062
4.25,0.7247014362246205,0.0770090778960823,0.989805791278531,-0.14242364814693273,-0.40789784833107284,0.9130275709565846,0.4921410887195164,-0.8705154500604623,-0.8264400773397493,-0.5630246873509803
4.266666666666667,0.6660003783594561,0.14338472015272366,0.9898042334416871,-0.1424344742712035,-0.14035553092996536,0.9901011690415114,0.49213471730754516,-0.8705190520721661,-0.6868902936404411,-0.7267611192837359
4.283333333333333,0.6046400332005533,0.21817749463004413,0.9898026042385953,-0.14244579545390065,0.06673249545530087,0.997770902587517,0.4921270904753482,-0.8705233637417599,-0.5756288083463202,-0.8177111195292598
4.3,0.5416243563984722,0.2975203052532276,0.989800930250899,-0.1424574268841574,0.23137439579283545,0.9728647845263494,0.4921181632735114,-0.8705284104360441,-0.488558270687308,-0.872531269435673
4.316666666666666,0.47796608749524694,0.37891371789409745,0.9897992383472112,-0.14246918181585996,0.36688675666996134,0.9302656114143941,0.49210790951870476,-0.8705342069035141,-0.41872069428254094,-0.9081150699000358
4.333333333333333,0.414679484950625,0.4604610479066392,0.989797555492814,-0.1424808728933462,0.4813646396126397,0.8765204411367675,0.49209632253559055,-0.8705407568557305,-0.3609185277887537,-0.9325973495023447
4.35,0.3527689442894939,0.5405611402836499,0.9897959084468912,-0.14249231425516737,0.5796496848202435,0.8148657821308932,0.4920834153650999,-0.8705480528509719,-0.3116508458307688,-0.9501966903188868
4.366666666666666,0.29322059991920923,0.6177765342976608,0.989794323536076,-0.14250332310427616,0.6646980585901422,0.7471121006291466,0.4920692216836543,-0.8705560757766513,-0.2685640740066435,-0.9632618222233009
4.383333333333334,0.23700114046795306,0.6907670768840725,0.9897928266172966,-0.1425137199603681,0.738354290623069,0.6744130348076797,0.49205379925519066,-0.8705647929008687,-0.23004681380732253,-0.9731795638303854
4.4,0.18504177003217137,0.7582792848862674,0.989791442642501,-0.14252333167477083,0.8017885322982384,0.5976078559348401,0.49203723124910853,-0.8705741571312069,-0.19497289625447045,-0.9808086305320439
4.416666666666667,0.13820407766138487,0.819175741401703,0.9897901947382355,-0.14253199781117895,0.8557587776253,0.5173750230898787,0.49201962159705864,-0.8705841096433401,-0.16252956351300515,-0.9867036743542977
4.433333333333334,0.0972528813154554,0.8724602613949821,0.9897891034682523,-0.14253957575183526,0.9007684502609685,0.43429966499463596,0.4920010886769042,-0.870594583454745,-0.13210254591603546,-0.9912360553180568
4.45,0.06284695770722237,0.9172817544860135,0.9897881865718047,-0.14254594249889574,0.9371567762419197,0.34890855068893406,0.4919817621918686,-0.8706055051919805,-0.10320609617894184,-0.9946599930184701
4.466666666666667,0.035538015887937036,0.9529299485595468,0.9897874589222448,-0.1425509949465295,0.965151073013803,0.2616933439358073,0.49196178325269535,-0.8706167950475272,-0.07544228139450758,-0.997150170324406
4.483333333333333,0.015767760997903224,0.9788363237511524,0.9897869324359692,-0.14255465049935825,0.9848993989576287,0.17312762325204417,0.49194130558056137,-0.8706283661032947,-0.04847608297566181,-0.9988243436056896
4.5,0.003858387696993759,0.9945860537497468,0.9897866158079337,-0.1425568488971253,0.996492858741598,0.08367784938081031,0.4919204939454497,-0.870640125216191,-0.02201716466173744,-0.9997575928495157
4.516666666666667,2.4128253812705225e-06,0.9999313987906411,0.9897865142322302,-0.14255755414572446,0.9999808237530063,-0.006192909353361236,0.4918995178400312,-0.8706519765949795,0.0041976972750706314,-0.9999911896299821
4.533333333333333,0.004261186382223059,0.9947924604294787,0.9897866293575103,-0.14255675482101396,0.9953790075176402,-0.09602411880979539,0.4918785462055222,-0.8706638247812654,0.03042030932032741,-0.9995371952963309
4.55,0.016566828448276283,0.9792536834463694,0.9897869593370052,-0.14255446371968006,0.9826717357321745,-0.185354416707872,0.491857748035257,-0.8706755743086432,0.05690219552319316,-0.9983797574794073
4.566666666666666,0.03672018759925777,0.9535675433600661,0.9897874987757739,-0.14255071822757506,0.9618099042740724,-0.27371830052135643,0.4918372927526072,-0.8706871294889951,0.08390578732098572,-0.9964736920029779
4.583333333333333,0.06439277742720151,0.9181531435483774,0.9897882387880845,-0.1425455799272001,0.9327031069497168,-0.360645136229986,0.49181734469469784,-0.8706983975277873,0.1117200132080359,-0.9937397237953187
4.6,0.09913719813658872,0.8735824237807885,0.9897891672845717,-0.1425391326131679,0.8952048377296499,-0.44565490966153537,0.49179805694382883,-0.8707092920063932,0.14067736466866979,-0.9900554929244513
4.616666666666666,0.14039635658843963,0.8205685948788186,0.9897902692293311,-0.14253148051896566,0.8490910029173956,-0.5282465984412311,0.4917795700003461,-0.8707197336286083,0.17117138136340765,-0.9852412690311663
4.633333333333334,0.18750614339052163,0.7599655353554946,0.989791526723944,-0.1425227477474526,0.7940285737755333,-0.6078804356351605,0.4917620130033646,-0.870729649527842,0.20368052356446067,-0.9790374070077748
4.65,0.2396965932355215,0.6927718357549959,0.9897929190524742,-0.14251307797385554,0.7295253534299306,-0.683953769419348,0.49174550369108433,-0.8707389732862552,0.23880726456263007,-0.9710669855329827
4.666666666666667,0.29610189097439843,0.6201257962440067,0.9897944229632071,-0.14250263250526957,0.6548430285802684,-0.7557649157772686,0.4917301450885436,-0.8707476468019881,0.2773453275653445,-0.9607702999560674
4.683333333333334,0.3557883691632924,0.5432787121500408,0.9897960134292197,-0.14249158501337508,0.5688463264451593,-0.8224438320577566,0.4917160191222962,-0.8707556238914117,0.32038913573266214,-0.9472860189533454
4.7,0.4177882609636754,0.4635651558536462,0.9897976645591793,-0.14248011522031537,0.46975530766845414,-0.8827966645368094,0.4917031822267848,-0.8707628727662046,0.36949448500296406,-0.929232923196544
4.716666666666667,0.4811145849098466,0.3824135592913892,0.9897993500015465,-0.14246840609944367,0.3547383036370759,-0.9349656335570253,0.49169166691793487,-0.8707693751410086,0.4269146513398966,-0.9042919221530924
4.733333333333333,0.5447622576516551,0.3014089328075622,0.9898010429792494,-0.14245664364005675,0.21920124300831414,-0.9756796682639287,0.49168148517876203,-0.8707751243187914,0.49596703468410186,-0.8683413502227444
4.75,0.607716991297309,0.22241431625977767,0.9898027165291816,-0.14244501518639582,0.05555569261836086,-0.9984555899075803,0.4916726292620604,-0.8707801247355916,0.5815143817344015,-0.8135361232521005
4.766666666666667,0.6689664096196566,0.14785202965012137,0.9898043437977472,-0.14243370738386013,-0.14849038877917253,-0.9889138508688258,0.4916650719396442,-0.8707843918184252,0.6899659230765685,-0.7238418508162531
4.783333333333333,0.7275074996630337,0.08139490372749922,0.9898058982359027,-0.14242290482017925,-0.409303919484403,-0.9123981047189353,0.49165876721541996,-0.8707879515819069,0.8250645270456823,-0.5650385174577788
4.8,0.7823692653845455,0.029452714664707835,0.9898073541947593,-0.14241278587953551,-0.7244597035339055,-0.6893171533884571,0.49165364945266604,-0.8707908411208026,0.9622354500074406,-0.2722185496048684
4.816666666666666,0.8326455976294937,0.0022896065820308398,0.9898086877884559,-0.14240351673499896,-0.974369525064762,-0.2249533921172783,0.4916496325536958,-0.8707931090734561,0.9812074508238683,0.19295579402476154
4.833333333333333,0.8775092693808233,0.006305905250367727,0.9898098772529639,-0.14239524884093757,-0.9431664442521528,0.3323207162317012,0.49164661179977837,-0.8707948145836641,0.767380470044402,0.6411920259909917
